Date,SPX,GLD,USO,SLV,EUR/USD,Price,Volume,Market_Cap
01-02-2008,1447.160034,84.860001,78.470001,15.18,1.471692,84.860001,9076,770189.37
01-03-2008,1447.160034,85.57,78.370003,15.285,1.474491,85.57,5901,504948.57
01-04-2008,1411.630005,85.129997,77.309998,15.167,1.475492,85.129997,6923,589354.97
01-07-2008,1416.180054,84.769997,75.5,15.053,1.468299,84.769997,8517,721986.06
01-08-2008,1390.189941,86.779999,76.059998,15.59,1.557099,86.779999,4842,420188.76
01-09-2008,1409.130005,86.550003,75.25,15.52,1.466405,86.550003,3831,331573.06
01-10-2008,1420.329956,88.25,74.019997,16.061001,1.4801,88.25,7256,640342.0
01-11-2008,1401.02002,88.580002,73.089996,16.077,1.479006,88.580002,8362,740705.98
1/14/2008,1416.25,89.540001,74.25,16.280001,1.4869,89.540001,8688,777923.53
1/15/2008,1380.949951,87.989998,72.779999,15.834,1.48021,87.989998,5063,445493.36
1/16/2008,1373.199951,86.699997,71.849998,15.654,1.466405,86.699997,4873,422489.09
1/17/2008,1333.25,86.5,71.029999,15.717,1.464,86.5,9151,791561.5
1/18/2008,1325.189941,87.419998,71.540001,16.030001,1.461796,87.419998,2537,221784.53
1/22/2008,1310.5,88.169998,70.550003,15.902,1.464794,88.169998,4640,409108.79
1/23/2008,1338.599976,87.889999,69.5,15.9,1.463208,87.889999,9852,865892.27
1/24/2008,1352.069946,90.080002,70.93,16.299999,1.47741,90.080002,7870,708929.62
1/25/2008,1330.609985,90.300003,71.910004,16.298,1.467502,90.300003,9172,828231.63
1/28/2008,1353.959961,91.75,72.349998,16.549999,1.478809,91.75,2091,191849.25
1/29/2008,1362.300049,91.150002,72.980003,16.534,1.477192,91.150002,9621,876954.17
1/30/2008,1355.810059,92.059998,73.080002,16.674999,1.483107,92.059998,2061,189735.66
1/31/2008,1378.550049,91.400002,72.349998,16.818001,1.486503,91.400002,8594,785491.62
02-01-2008,1395.420044,89.349998,70.470001,16.618999,1.479991,89.349998,2605,232756.74
02-04-2008,1380.819946,89.099998,71.370003,16.514999,1.4828,89.099998,6161,548945.09
02-05-2008,1336.640015,87.68,70.150002,16.167,1.463807,87.68,6374,558872.32
02-06-2008,1326.449951,88.949997,69.019997,16.375,1.46171,88.949997,9027,802951.62
02-07-2008,1336.910034,89.849998,69.800003,16.67,1.44789,89.849998,7820,702626.98
02-08-2008,1331.290039,91.0,72.900002,17.025999,1.557099,91.0,4660,424060.0
02-11-2008,1339.130005,91.330002,74.550003,17.4,1.4502,91.330002,3122,285132.27
02-12-2008,1348.859985,89.330002,73.589996,17.033001,1.458194,89.330002,3362,300327.47
2/13/2008,1367.209961,89.440002,74.110001,17.132,1.455604,89.440002,4535,405610.41
2/14/2008,1348.859985,89.709999,75.760002,17.087,1.464408,89.709999,8087,725484.76
2/15/2008,1349.98999,89.150002,75.93,16.952,1.46761,89.150002,4815,429257.26
2/19/2008,1348.780029,91.580002,78.809998,17.378,1.472993,91.580002,8229,753611.84
2/20/2008,1360.030029,93.239998,79.32,17.700001,1.472299,93.239998,8570,799066.78
2/21/2008,1342.530029,93.25,77.330002,17.695999,1.481503,93.25,5160,481170.0
2/22/2008,1353.109985,93.389999,78.599998,17.916,1.482602,93.389999,9116,851343.23
2/25/2008,1371.800049,92.739998,78.739998,17.99,1.483591,92.739998,4540,421039.59
2/26/2008,1381.290039,93.709999,80.099998,18.6,1.49961,93.709999,6767,634135.56
2/27/2008,1380.02002,94.779999,78.919998,19.132999,1.511807,94.779999,9319,883254.81
2/28/2008,1367.680054,95.989998,81.480003,19.666,1.519595,95.989998,6923,664538.76
2/29/2008,1330.630005,96.18,80.419998,19.667999,1.519203,96.18,1281,123206.58
03-03-2008,1331.339966,97.239998,81.32,20.163,1.520011,97.239998,4895,475989.79
03-04-2008,1326.75,95.18,79.400002,19.620001,1.521005,95.18,9894,941710.92
03-05-2008,1333.699951,97.720001,83.300003,20.621,1.527697,97.720001,3954,386384.88
03-06-2008,1304.339966,96.5,83.889999,20.075001,1.538509,96.5,6683,644909.5
03-07-2008,1293.369995,96.089996,83.730003,20.040001,1.533601,96.089996,6266,602099.91
03-10-2008,1273.369995,95.870003,85.629997,19.475,1.534095,95.870003,9860,945278.23
03-11-2008,1320.650024,95.989998,86.339996,19.52,1.534189,95.989998,1397,134098.03
03-12-2008,1308.77002,97.010002,86.919998,19.969999,1.554002,97.010002,3032,294134.33
3/13/2008,1315.47998,98.339996,87.209999,20.406,1.562207,98.339996,5492,540083.26
3/14/2008,1288.140015,98.709999,86.510002,20.421,1.561792,98.709999,3029,298992.59
3/17/2008,1276.599976,99.169998,83.300003,19.98,1.574803,99.169998,2207,218868.19
3/18/2008,1330.73999,96.5,85.800003,19.379,1.565803,96.5,1379,133073.5
3/19/2008,1298.420044,93.040001,82.290001,18.250999,1.563893,93.040001,7990,743389.61
3/20/2008,1329.51001,89.910004,81.300003,16.701,1.544211,89.910004,8771,788600.65
3/24/2008,1349.880005,90.099998,80.260002,16.787001,1.543496,90.099998,5058,455725.79
3/25/2008,1352.98999,92.730003,81.470001,17.775,1.561207,92.730003,9502,881120.49
3/26/2008,1341.130005,93.800003,84.809998,18.225,1.582404,93.800003,3969,372292.21
3/27/2008,1325.76001,93.459999,85.730003,18.32,1.581403,93.459999,2415,225705.9
3/28/2008,1315.219971,91.879997,84.370003,17.75,1.576094,91.879997,4224,388101.11
04-01-2008,1370.180054,86.860001,81.059998,16.6,1.567791,86.860001,2427,210809.22
04-02-2008,1367.530029,89.269997,83.779999,17.246,1.566711,89.269997,8980,801644.57
04-03-2008,1369.310059,89.419998,83.650002,17.23,1.573688,89.419998,8401,751217.4
04-07-2008,1372.540039,91.169998,86.93,17.950001,1.557802,91.169998,6484,591146.27
04-08-2008,1365.540039,90.349998,87.190002,17.507,1.582404,90.349998,6149,555562.14
04-09-2008,1354.48999,92.290001,88.900002,18.014999,1.574208,92.290001,4267,393801.43
04-10-2008,1360.550049,91.769997,88.18,17.812,1.582203,91.769997,2548,233829.95
4/14/2008,1328.319946,91.110001,89.639999,17.514999,1.578607,91.110001,4165,379473.15
4/15/2008,1334.430054,91.660004,91.440002,17.681999,1.595813,91.660004,3661,335567.27
4/16/2008,1364.709961,93.269997,92.150002,18.153999,1.590204,93.269997,4432,413372.63
4/17/2008,1365.560059,92.559998,92.370003,18.01,1.573391,92.559998,7086,655880.15
4/21/2008,1388.170044,90.25,94.379997,17.267,1.598798,90.25,3206,289341.5
4/22/2008,1375.939941,90.269997,95.080002,17.476999,1.587402,90.269997,2301,207711.26
4/23/2008,1379.930054,89.220001,95.18,17.000999,1.568406,89.220001,7095,633015.91
4/24/2008,1388.819946,87.220001,93.199997,16.552,1.563697,87.220001,7439,648829.59
4/28/2008,1396.369995,87.690002,95.690002,16.84,1.556711,87.690002,2811,246496.6
4/29/2008,1390.939941,85.809998,92.989998,16.382,1.562207,85.809998,8426,723035.04
05-01-2008,1409.339966,83.989998,90.379997,15.994,1.5434,83.989998,7864,660497.34
05-05-2008,1407.48999,86.269997,96.739998,16.573999,1.553591,86.269997,5889,508044.01
05-06-2008,1418.26001,86.629997,98.379997,16.73,1.538509,86.629997,6588,570718.42
05-07-2008,1392.569946,85.82,99.800003,16.503,1.546408,85.82,8362,717626.84
05-08-2008,1397.680054,87.239998,100.660004,16.700001,1.548995,87.239998,7046,614693.03
